Image,Template,Preview Image,QRCode Detection,QRcode Decoding,Result1,Result2,Result3,Result4,Result5,Expected Brand,Real Brand,Expected xoffset in mm,Expected yoffset in mm,Top offset in inches,Right offset in inches,Bottom offset in inches,Left offset in inches,Expected print width in mm,Expected print height in mm,Real print width in mm,Real print height in mm,Expected Garment Color,Standart RGB value,Real Garment Color (RGB),Expected Garment Size,Real Garment Size (Unisex),Real Garment Length (inches),Real Garment Width (inches),Design Rotation,Collar Front,Garment Color (score),Design Match (score),Color Match (score),Screenshot
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.jpg,https://images-backend.threadless.com/~/r1YpR.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.jpg,2872D75_32901296__032_052_004_K3_E_5__134779_177_179,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.jpg,Anvil,GILDAN(from carelabel),273.9182,31.016,2.047,4.573,22.737,15.814,68.92,54.02,65.26,49.94,Smoke,"54,54,54","58,64,57",XL (Mens) (Unisex),XXL,31.744,23.113,1.35,TRUE,1,0.85,0.78,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D75_32901296__032_052_004_K3_E_5__134779_177_179.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.jpg,"https://res.cloudinary.com/teepublic/image/private/s--pfHFuifd--/t_Trim/c_scale,h_1669,w_1650/c_lpad,g_north_west,h_1669,w_1650,x_0,y_0/c_lpad,g_north,h_1669,w_1650/dn_150,e_saturation:25,f_png,q_90/v1502981363/production/designs/1830743_1.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.jpg,2872210_32900369__022_046_002_G14_A_2__134699_1658_1721,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.jpg,Bella Canvas,Bella Canvas(from QRcode),9.2589,15,2.882,4.852,12.384,3.457,279.25,282.47,263.2,261.42,Asphalt,"52,47,51","72,82,78",M (Unisex) (Unisex),XL,30.222,19.3,-4.08,TRUE,0.92,0.87,0.62,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872210_32900369__022_046_002_G14_A_2__134699_1658_1721.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.jpg,"https://res.cloudinary.com/teepublic/image/private/s--YJSH6gc4--/t_Trim/c_scale,h_693,w_1727/c_lpad,g_north_west,h_871,w_1762,x_18,y_178/c_lpad,g_north,h_871,w_1762/dn_150,e_saturation:25,f_png,q_90/v1581111492/production/designs/2634931_1.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.jpg,2872D98_32901296__056_002_003_G18_D_1__134779_163_167,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.jpg,Next Level Apparel,E(from carelabel),2.9947,40.1439,1.633,5.029,17.196,5.967,253.68,101.61,248.68,101.72,White,"220,219,224","244,236,231",L (Mens) (Unisex),XL,30.236,21.384,-7.48,TRUE,0.99,0.9,0.71,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D98_32901296__056_002_003_G18_D_1__134779_163_167.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.jpg,https://images.printify.com/print/66131eaefe619d69110602dd/23528/front/90723af366f25ac566173e4d1389fc36.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.jpg,2872D5A_32901296__019_004_003_D7_D_3__134779_53_61,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.jpg,Bella Canvas,Bella Canvas(from QRcode),45.6775,17.1073,1.573,5.329,12.647,4.665,168.4,179.75,162.25,167.03,Black,"23,23,23","34,37,34",L (Ladies) (Unisex),S,25.769,16.772,1.26,TRUE,0.92,0.91,0.75,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D5A_32901296__019_004_003_D7_D_3__134779_53_61.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.jpg,https://images.printify.com/print/661742aec4510313d901226e/12128/front/7ddffb52190d08d5bd96f17ae02ce668.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.jpg,28753EF_32906685__001_004_005_B9_A_1__134711_176_224,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.jpg,Gildan,GILDA(from carelabel),44.8307,30,1.753,5.971,8.398,6.891,306.49,431.46,307.97,417.64,Black,"36,36,36","24,34,28",2X (Unisex) (Unisex),XXXXL,33.597,25.731,0.61,TRUE,0.92,0.92,0.82,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/28753EF_32906685__001_004_005_B9_A_1__134711_176_224.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.jpg,https://mdapp.blob.core.windows.net/artworks/2024/4/Fanatics/94e566aa-b475-452f-9952-b432334c0010.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.jpg,2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.jpg,Gildan,Gildan(from QRcode),269.8542,30,0.994,7.225,21.819,11.046,77.05,78.66,70.21,78.93,Deep Royal,"24,82,151","34,55,101",XL (Mens) (Unisex),XXL,31.802,21.194,-2.28,TRUE,0.99,0.84,0.72,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DFB_32901296__162_208_004_FAN_02_C_1__134779_212_212.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.jpg,https://images-backend.threadless.com/~/717Kb.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.jpg,2872D36_32901296__004_098_004_F7_E_3__134779_106_106,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.jpg,Next Level Apparel,Next Level Apparel(from QRcode),167.8786,30,2.629,6.44,15.955,10.298,88.9,88.73,73.98,82.11,Vibrant Yellow,"225,211,94","250,212,102",XL (Ladies) (Unisex),M,27.165,19.824,-3.41,TRUE,0.99,0.8,0.82,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D36_32901296__004_098_004_F7_E_3__134779_106_106.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.jpg,https://images-backend.threadless.com/~/vefrR.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.jpg,2872D54_32901296__016_040_004_F15_E_3__134779_110_113,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.jpg,Next Level Apparel,Next Level Apparel(from QRcode),46.9474,33.2173,1.2,6.143,15.045,4.735,302.26,235.12,279.77,218.32,Indigo,"80,92,100","64,76,94",XL (Mens) (Unisex),XL,29.407,22.572,-2.94,TRUE,0.98,0.86,0.77,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D54_32901296__016_040_004_F15_E_3__134779_110_113.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2873175_32901769__002_004_005_F8_A_1__1_24_24.jpg,"https://res.cloudinary.com/teepublic/image/private/s--DE1PDjdo--/t_Trim/c_scale,h_1890,w_1890/c_lpad,g_north_west,h_1995,w_2100,x_105,y_105/c_lpad,g_north,h_1995,w_2100/dn_150,e_saturation:25,f_png,q_90/v1633924708/production/designs/24852786_0.png",https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2873175_32901769__002_004_005_F8_A_1__1_24_24.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2873175_32901769__002_004_005_F8_A_1__1_24_24.jpg,2873175_32901769__002_004_005_F8_A_1__1_24_24,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2873175_32901769__002_004_005_F8_A_1__1_24_24.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2873175_32901769__002_004_005_F8_A_1__1_24_24.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2873175_32901769__002_004_005_F8_A_1__1_24_24.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2873175_32901769__002_004_005_F8_A_1__1_24_24.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2873175_32901769__002_004_005_F8_A_1__1_24_24.jpg,Gildan,Gildan(from QRcode),38.0861,47.7815,3.076,6.434,11.941,5.408,319.9,319.9,325.8,304.18,Black,"28,28,28","20,38,38",2X (Mens) (Unisex),XXXL,32.73,25.464,-1.83,TRUE,0.86,0.91,0.68,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2873175_32901769__002_004_005_F8_A_1__1_24_24.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/287612A_32908745__001_004_004_B13_A_1__134711_331_346.jpg,https://images.printify.com/print/66155f2689a1f4ce670392e7/12127/front/c8c6768fae9361a12ef39648b4143760.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/287612A_32908745__001_004_004_B13_A_1__134711_331_346.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/287612A_32908745__001_004_004_B13_A_1__134711_331_346.jpg,287612A_32908745__001_004_004_B13_A_1__134711_331_346,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/287612A_32908745__001_004_004_B13_A_1__134711_331_346.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/287612A_32908745__001_004_004_B13_A_1__134711_331_346.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/287612A_32908745__001_004_004_B13_A_1__134711_331_346.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/287612A_32908745__001_004_004_B13_A_1__134711_331_346.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/287612A_32908745__001_004_004_B13_A_1__134711_331_346.jpg,Gildan,SILDA(from carelabel),48.3867,30,1.954,5.904,6.98,5.541,299.38,431.72,291.11,412.81,Black,"36,36,36","25,35,31",XL (Unisex) (Unisex),XL,30.736,23.597,-0.88,TRUE,0.9,0.88,0.77,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/287612A_32908745__001_004_004_B13_A_1__134711_331_346.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.jpg,https://images-backend.threadless.com/~/uOfw1.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.jpg,2872D77_32901296__033_109_004_E4_F_1__134779_100_104,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.jpg,AS Colour,AS Colour(from QRcode),261.0489,30,1.544,6.337,21.681,13.258,94.66,101.43,94.29,101.66,Teal,"87,189,172","18,150,152",XL (Mens) (Unisex),XXXL,32.464,23.53,-2.41,TRUE,0.62,0.85,0.62,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D77_32901296__033_109_004_E4_F_1__134779_100_104.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.jpg,https://s3.us-east-2.amazonaws.com/dreamship-public-files/files/production/u/fe8a2680-2f47-4e4e-aa9f-b2f6cbba655d/50c5bbbf-a0ac-4cd9-93db-2b653868ae5b.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.jpg,2872DB5_32901296__100_006_003_E5_D_3__134779_97_104,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.jpg,Gildan,Gildan(from QRcode),4.7411,15.0841,2.533,5.595,7.995,3.309,250.28,304.63,247.46,291.63,Light Blue,"152,187,207","172,189,204",L (Ladies) (Unisex),M,28.014,19.227,-3.79,TRUE,0.95,0.94,0.84,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DB5_32901296__100_006_003_E5_D_3__134779_97_104.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.jpg,https://images.printify.com/print/6610c2ee97c5abfbb00333ca/12102/front/93ae7fd741cffa92134608422938d243.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.jpg,2872D1C_32901296__001_002_001_F1_A_1__134779_91_104,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.jpg,Gildan,GILDAN'(from carelabel),10.2444,20.2493,1.667,2.119,10.716,4.599,277.37,309.88,261.93,305.51,White,"241,241,241","242,237,229",S (Unisex) (Unisex),L,29.515,17.647,5.38,TRUE,0.9,0.89,0.83,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D1C_32901296__001_002_001_F1_A_1__134779_91_104.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.jpg,https://uploads.documents.cimpress.io/v1/uploads/e4d42d70-51a0-486e-9bf7-ca0d6af880f5~100?tenant=prepress-uploads,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.jpg,2872D96_32901296__054_164_001_K6_E_2__134779_181_187,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.jpg,Gildan,GILDAN(from carelabel),9.4401,51.4067,2.599,3.704,6.98,3.365,240.88,222.25,230.91,223.55,Tennessee Orange,"222,123,21","250,143,23",S (Youth) (Unisex),S,22.794,16.723,-4.15,TRUE,0.93,0.9,0.72,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D96_32901296__054_164_001_K6_E_2__134779_181_187.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.jpg,https://images-backend.threadless.com/~/1KkZy.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.jpg,2872D8F_32901296__049_004_005_H17_C_3__134779_160_167,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.jpg,Next Level Apparel,NEXT LEVEL(from carelabel),2.9631,15.7527,1.56,5.672,7.572,4.742,253.83,269.92,243.24,257.01,Black,"33,33,33","27,40,40",2X (Ladies) (Unisex),L,28.294,20.573,0.13,TRUE,0.93,0.93,0.9,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D8F_32901296__049_004_005_H17_C_3__134779_160_167.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.jpg,https://images-backend.threadless.com/~/5oxLd.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.jpg,2872DA7_32901296__063_004_003_C9_E_3__134779_59_61,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.jpg,LAT Apparel,LAT Apparel(from QRcode),2.9631,15.254,2.366,4.071,10.84,3.633,253.83,205.99,243.22,198.58,Black,"32,32,32","22,35,34",L (Youth) (Unisex),S,25.453,17.863,-2.35,TRUE,0.94,0.9,0.75,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872DA7_32901296__063_004_003_C9_E_3__134779_59_61.png
https://github.com/pntrungbk15/TSC/blob/main//reportv2/imgs/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.jpg,https://artplatformapp.blob.core.windows.net/artworks/originals/456c297a-d08c-45b3-99a0-fbcb8e00d650/JJ_MN_TakeoutEmbroidered_ART-01.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/preview_imgs/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.png,https://github.com/pntrungbk15/TSC/blob/main//reportv2/qrdetection/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.jpg,2872D28_32901296__002_004_003_D8_A_1__134779_50_61,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results1/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results2/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results3/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results4/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.jpg,https://github.com/pntrungbk15/TSC/blob/main//reportv2/results5/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.jpg,Gildan,GILDAN(from carelabel),266.7639,33.3867,2.413,4.068,20.248,13.678,83.23,93.13,84.86,90.09,Black,"0,0,0","25,38,38",L (Mens) (Unisex),XL,30.481,21.287,2.39,TRUE,1,0.88,0.74,https://github.com/pntrungbk15/TSC/blob/main//reportv2/screenshot/2872D28_32901296__002_004_003_D8_A_1__134779_50_61.png
